time,open,high,low,close,HTF2 SHA (Open),HTF2 SHA (High,HTF2 SHA (Low),HTF2 SHA (Close),HTF1 SHA (Open),HTF1 SHA (High,HTF1 SHA (Low),HTF1 SHA (Close),Base SHA (Open),Base SHA (High,Base SHA (Low),Base SHA (Close),Entry Long,Entry Short,Exit,Active Stop,Base Dir,HTF1 Dir,HTF2 Dir,Alignment,Position,Volume
2018-02-08,7698.801004570691,7844,7572.09,7699.7775,13294.218601798888,13294.218601798888,11731.58702188604,11731.58702188604,9587.093743573148,9587.093743573148,8945.801460229055,8945.801460229055,9587.093743573148,9587.093743573148,8945.801460229055,8945.801460229055,,,,10630.461085048439,-1,-1,-1,-1,-1,1521.537318
2018-02-09,7699.289252285345,8738,7699.289252285345,8250.43,13294.218601798888,13294.218601798888,11731.58702188604,11731.58702188604,9266.447601901102,9266.447601901102,8731.608729492158,8731.608729492158,9266.447601901102,9266.447601901102,8731.608729492158,8731.608729492158,,,,10630.461085048439,-1,-1,-1,-1,-1,20482.910825
2018-02-10,7974.859626142673,9065.78,7974.859626142673,8600.92,13294.218601798888,13294.218601798888,11731.58702188604,11731.58702188604,8999.028165696629,8999.028165696629,8602.540662577532,8602.540662577532,8999.028165696629,8999.028165696629,8602.540662577532,8602.540662577532,,,,10630.461085048439,-1,-1,-1,-1,-1,49379.853135
2018-02-11,8287.889813071337,8549,7726.53,8218.349999999999,12512.902811843085,12512.902811843085,10421.472194646574,10421.472194646574,8800.78441413708,8800.78441413708,8506.122390523178,8506.122390523178,8800.78441413708,8800.78441413708,8506.122390523178,8506.122390523178,,,,10630.461085048439,-1,-1,-1,-1,-1,45025.187952
2018-02-12,8253.119906535667,8989,8053,8502.205,12512.902811843085,12512.902811843085,10421.472194646574,10421.472194646574,8653.45340233013,8653.45340233013,8456.07909344099,8456.07909344099,8653.45340233013,8653.45340233013,8456.07909344099,8456.07909344099,,,,10630.461085048439,-1,-1,-1,-1,-1,41987.85049
2018-02-13,8377.662453267832,8950,8351,8685.975,12512.902811843085,12512.902811843085,10421.472194646574,10421.472194646574,8554.76624788556,8554.76624788556,8444.732689902721,8444.732689902721,8554.76624788556,8554.76624788556,8444.732689902721,8444.732689902721,,,,10630.461085048439,-1,-1,-1,-1,-1,35454.972956
2018-02-14,8531.818726633916,9489.6,8531.818726633916,9001.94,12512.902811843085,12512.902811843085,10421.472194646574,10421.472194646574,8499.74946889414,8499.74946889414,8478.909850332795,8478.909850332795,8499.74946889414,8499.74946889414,8478.909850332795,8478.909850332795,,,,10630.461085048439,-1,-1,-1,-1,-1,40811.952867
2018-02-15,8766.879363316959,10219.5,8766.879363316959,9742.7675,12512.902811843085,12512.902811843085,10421.472194646574,10421.472194646574,8489.329659613468,8574.423343540224,8489.329659613468,8574.423343540224,8489.329659613468,8574.423343540224,8489.329659613468,8574.423343540224,,,9742.7675,,1,1,-1,0,0,52427.596715
2018-02-16,9254.823431658479,10323.37,9254.823431658479,10037.560000000001,12512.902811843085,12512.902811843085,10421.472194646574,10421.472194646574,8531.876501576846,8720.61594012938,8531.876501576846,8720.61594012938,8531.876501576846,8720.61594012938,8531.876501576846,8720.61594012938,,,,,1,1,-1,0,0,38161.205974
2018-02-17,9646.19171582924,11075.07,9646.19171582924,10580.1725,12512.902811843085,12512.902811843085,10421.472194646574,10421.472194646574,8626.246220853112,8923.620533451898,8626.246220853112,8923.620533451898,8626.246220853112,8923.620533451898,8626.246220853112,8923.620533451898,,,,,1,1,-1,0,0,41882.108407
2018-02-18,10113.182107914621,11274,10080,10694.244999999999,11467.187503245037,11467.187503245037,9896.066901754564,9896.066901754564,8774.933377152505,9162.065898649229,8774.933377152505,9162.065898649229,8774.933377152505,9162.065898649229,8774.933377152505,9162.065898649229,,,,,1,1,-1,0,0,61137.380728
2018-02-19,10403.71355395731,11250,10270.33,10762.085000000001,11467.187503245037,11467.187503245037,9896.066901754564,9896.066901754564,8968.499637900866,9407.515179282658,8968.499637900866,9407.515179282658,8968.499637900866,9407.515179282658,8968.499637900866,9407.515179282658,,,,,1,1,-1,0,0,40831.417131
2018-02-20,10582.899276978656,11786.01,10582.899276978656,11308.675000000001,11467.187503245037,11467.187503245037,9896.066901754564,9896.066901754564,9188.007408591762,9669.400906618852,9188.007408591762,9669.400906618852,9188.007408591762,9669.400906618852,9188.007408591762,9669.400906618852,,,,,1,1,-1,0,0,48153.354288
2018-02-21,10945.78713848933,11304.03,10200,10784.175,11467.187503245037,11467.187503245037,9896.066901754564,9896.066901754564,9428.704157605307,9892.867324087163,9428.704157605307,9892.867324087163,9428.704157605307,9892.867324087163,9428.704157605307,9892.867324087163,,,,,1,1,-1,0,0,68113.818754
2018-02-22,10864.981069244664,10933.44,9679,10215.625,11467.187503245037,11467.187503245037,9896.066901754564,9896.066901754564,9660.785740846235,10044.297802747842,9660.785740846235,10044.297802747842,9660.785740846235,10044.297802747842,9660.785740846235,10044.297802747842,,,,,1,1,-1,0,0,67060.166483
2018-02-23,10540.303034622331,10540.303034622331,9570.19,9987.945,11467.187503245037,11467.187503245037,9896.066901754564,9896.066901754564,9852.541771797038,10125.2220229729,9852.541771797038,10125.2220229729,9852.541771797038,10125.2220229729,9852.541771797038,10125.2220229729,,,,,1,1,-1,0,0,57202.70237
2018-02-24,10264.124017311166,10496.97,9352,9918.630000000001,11467.187503245037,11467.187503245037,9896.066901754564,9896.066901754564,9988.881897384968,10152.560790753916,9988.881897384968,10152.560790753916,9988.881897384968,10152.560790753916,9988.881897384968,10152.560790753916,,,,,1,1,-1,0,0,40888.156299
2018-02-25,10091.377008655583,10091.377008655583,9274.8,9601.5775,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10070.721344069441,10130.849734702735,10070.721344069441,10130.849734702735,10070.721344069441,10130.849734702735,10070.721344069441,10130.849734702735,,,,,1,1,-1,0,0,28373.517586
2018-02-26,9846.47725432779,10444.32,9350,9927.08,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10100.785539386088,10100.785539386088,10099.48409333478,10099.48409333478,10100.785539386088,10100.785539386088,10099.48409333478,10099.48409333478,,,,,-1,-1,-1,-1,0,34878.292756
2018-02-27,9886.778627163894,10870,9886.778627163894,10470.26,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10100.134816360434,10100.755258051706,10100.134816360434,10100.755258051706,10100.134816360434,10100.755258051706,10100.134816360434,10100.755258051706,,10870,,11788.01,1,1,-1,0,-1,30705.385123
2018-02-28,10178.519313581946,11098,10178.519313581946,10577.272500000001,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10100.44503720607,10137.554914807539,10100.44503720607,10137.554914807539,10100.44503720607,10137.554914807539,10100.44503720607,10137.554914807539,,,10577.272500000001,,1,1,-1,0,0,30800.983782
2018-03-01,10377.895906790975,11060.41,10240,10636.5125,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10118.999976006804,10193.941393461613,10118.999976006804,10193.941393461613,10118.999976006804,10193.941393461613,10118.999976006804,10193.941393461613,,,,,1,1,-1,0,0,25092.55393
2018-03-02,10507.204203395488,11200,10507.204203395488,10983.09,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10156.470684734208,10274.071368676727,10156.470684734208,10274.071368676727,10156.470684734208,10274.071368676727,10156.470684734208,10274.071368676727,,,,,1,1,-1,0,0,23910.71009
2018-03-03,10745.147101697745,11544,10745.147101697745,11265.619999999999,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10215.271026705466,10382.657106636858,10215.271026705466,10382.657106636858,10215.271026705466,10382.657106636858,10215.271026705466,10382.657106636858,,,,,1,1,-1,0,0,21287.15328
2018-03-04,11005.383550848872,11565,11005.383550848872,11398.622500000001,10326.500945737716,10326.500945737716,10135.055302727551,10135.055302727551,10298.964066671162,10509.858477132704,10298.964066671162,10509.858477132704,10298.964066671162,10509.858477132704,10298.964066671162,10509.858477132704,,,,,1,1,-1,0,0,17122.482572
2018-03-05,11202.003025424438,11710,11202.003025424438,11523.5025,10326.500945737716,10326.500945737716,10135.055302727551,10135.055302727551,10404.411271901934,10649.176330971168,10404.411271901934,10649.176330971168,10404.411271901934,10649.176330971168,10404.411271901934,10649.176330971168,,,,,1,1,-1,0,0,15144.231063
2018-03-06,11362.752762712218,11455,10555.48,11045.489999999998,10326.500945737716,10326.500945737716,10135.055302727551,10135.055302727551,10526.793801436552,10754.680605847507,10526.793801436552,10754.680605847507,10526.793801436552,10754.680605847507,10526.793801436552,10754.680605847507,,,,,1,1,-1,0,0,29515.572363
2018-03-07,11204.121381356108,11204.121381356108,9389.31,10228.6975,10326.500945737716,10326.500945737716,10135.055302727551,10135.055302727551,10640.73720364203,10781.86099721918,10640.73720364203,10781.86099721918,10640.73720364203,10781.86099721918,10640.73720364203,10781.86099721918,,,,,1,1,-1,0,0,50647.67108
2018-03-08,10716.409440678053,10716.409440678053,9060,9585.16,10326.500945737716,10326.500945737716,10135.055302727551,10135.055302727551,10711.299100430606,10726.77928858106,10711.299100430606,10726.77928858106,10711.299100430606,10726.77928858106,10711.299100430606,10726.77928858106,,,,,1,1,-1,0,0,41109.473226
2018-03-09,10150.784720339027,10150.784720339027,8329,9058.2675,10326.500945737716,10326.500945737716,10135.055302727551,10135.055302727551,10719.039194505833,10719.039194505833,10585.112708691133,10585.112708691133,10719.039194505833,10719.039194505833,10585.112708691133,10585.112708691133,,,,,-1,-1,-1,-1,0,64112.291407
2018-03-10,9604.526110169514,9604.526110169514,8667.07,9039.3225,10326.500945737716,10326.500945737716,10135.055302727551,10135.055302727551,10652.075951598483,10652.075951598483,10398.445946644155,10398.445946644155,10652.075951598483,10652.075951598483,10398.445946644155,10398.445946644155,,9604.526110169514,,11712,-1,-1,-1,-1,-1,37180.012857
2018-03-11,9321.924305084758,9740,8450,9123.4475,10230.77812423264,10230.77812423264,10148.223097068278,10148.223097068278,10525.260949121319,10525.260949121319,10201.14785810019,10201.14785810019,10525.260949121319,10525.260949121319,10201.14785810019,10201.14785810019,,,,11712,-1,-1,-1,-1,-1,44325.973386
2018-03-12,9222.68590254238,9888.88,8780,9333.447499999998,10230.77812423264,10230.77812423264,10148.223097068278,10148.223097068278,10363.204403610755,10363.204403610755,10029.529238338377,10029.529238338377,10363.204403610755,10363.204403610755,10029.529238338377,10029.529238338377,,,,11712,-1,-1,-1,-1,-1,42230.347513
2018-03-13,9278.06670127119,9474,8823,9144.585,10230.77812423264,10230.77812423264,10148.223097068278,10148.223097068278,10196.366820974567,10196.366820974567,9873.919099069923,9873.919099069923,10196.366820974567,10196.366820974567,9873.919099069923,9873.919099069923,,,,11712,-1,-1,-1,-1,-1,40191.409358
2018-03-14,9211.325850635594,9333.78,7900.28,8638.994999999999,10230.77812423264,10230.77812423264,10148.223097068278,10148.223097068278,10035.142960022245,10035.142960022245,9703.272244174776,9703.272244174776,10035.142960022245,10035.142960022245,9703.272244174776,9703.272244174776,,,,11712,-1,-1,-1,-1,-1,49708.094108
2018-03-15,8925.160425317797,8925.160425317797,7650,8126.2475,10230.77812423264,10230.77812423264,10148.223097068278,10148.223097068278,9869.207602098511,9869.207602098511,9508.381031311184,9508.381031311184,9869.207602098511,9869.207602098511,9508.381031311184,9508.381031311184,,,,11712,-1,-1,-1,-1,-1,52291.022277
2018-03-16,8525.7039626589,8611.64,7900,8253.154999999999,10230.77812423264,10230.77812423264,10148.223097068278,10148.223097068278,9688.794316704849,9688.794316704849,9312.031239472935,9312.031239472935,9688.794316704849,9688.794316704849,9312.031239472935,9312.031239472935,,,,11712,-1,-1,-1,-1,-1,38815.409893
2018-03-17,8389.42948132945,8389.42948132945,7721.99,8038.8525,10230.77812423264,10230.77812423264,10148.223097068278,10148.223097068278,9500.412778088892,9500.412778088892,9115.769703387688,9115.769703387688,9500.412778088892,9500.412778088892,9115.769703387688,9115.769703387688,,,,11712,-1,-1,-1,-1,-1,33110.206329
2018-03-18,8214.140990664724,8317.4,7322,7913.35,10189.500610650462,10189.500610650462,9696.216002878537,9696.216002878537,9308.09124073829,9308.09124073829,8919.82125715044,8919.82125715044,9308.09124073829,9308.09124073829,8919.82125715044,8919.82125715044,,,,11712,-1,-1,-1,-1,-1,59488.231711
2018-03-19,8063.745495332362,8705.23,8063.745495332362,8395.6575,10189.500610650462,10189.500610650462,9696.216002878537,9696.216002878537,9113.956248944363,9113.956248944363,8773.914059174456,8773.914059174456,9113.956248944363,9113.956248944363,8773.914059174456,8773.914059174456,,,,11712,-1,-1,-1,-1,-1,55297.084942
2018-03-20,8229.701497666181,9050,8229.701497666181,8708.747500000001,10189.500610650462,10189.500610650462,9696.216002878537,9696.216002878537,8943.935154059409,8943.935154059409,8686.323905866431,8686.323905866431,8943.935154059409,8943.935154059409,8686.323905866431,8686.323905866431,,,,11712,-1,-1,-1,-1,-1,44863.376166
2018-03-21,8469.224498833091,9177.01,8469.224498833091,8930.6425,10189.500610650462,10189.500610650462,9696.216002878537,9696.216002878537,8815.12952996292,8815.12952996292,8652.133075971586,8652.133075971586,8815.12952996292,8815.12952996292,8652.133075971586,8652.133075971586,,,,11712,-1,-1,-1,-1,-1,39972.405371
2018-03-22,8699.933499416546,9100,8465.1,8793.205,10189.500610650462,10189.500610650462,9696.216002878537,9696.216002878537,8733.631302967253,8733.631302967253,8646.170826365773,8646.170826365773,8733.631302967253,8733.631302967253,8646.170826365773,8646.170826365773,,,,11712,-1,-1,-1,-1,-1,40617.556809
2018-03-23,8746.569249708273,8909,8269,8699.0075,10189.500610650462,10189.500610650462,9696.216002878537,9696.216002878537,8689.901064666512,8689.901064666512,8644.252741977398,8644.252741977398,8689.901064666512,8689.901064666512,8644.252741977398,8644.252741977398,,,,11712,-1,-1,-1,-1,-1,39990.868008
2018-03-24,8722.788374854135,8999.95,8491,8733.962500000001,10189.500610650462,10189.500610650462,9696.216002878537,9696.216002878537,8667.076903321955,8667.076903321955,8651.595189417147,8651.595189417147,8667.076903321955,8667.076903321955,8651.595189417147,8651.595189417147,,,,11712,-1,-1,-1,-1,-1,35466.609572
2018-03-25,8728.375437427068,8728.375437427068,8365.77,8509.255,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8659.33604636955,8659.33604636955,8648.91933415982,8648.91933415982,8659.33604636955,8659.33604636955,8648.91933415982,8648.91933415982,,,,11712,-1,-1,-1,-1,-1,29001.769316
2018-03-26,8618.815218713535,8618.815218713535,7831,8237.564999999999,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8654.127690264684,8654.127690264684,8619.015448390574,8619.015448390574,8654.127690264684,8654.127690264684,8619.015448390574,8619.015448390574,,,,11712,-1,-1,-1,-1,-1,44031.973832
2018-03-27,8428.190109356767,8428.190109356767,7730,7968.9175,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8636.571569327629,8636.571569327629,8562.376655590508,8562.376655590508,8636.571569327629,8636.571569327629,8562.376655590508,8562.376655590508,,,,11712,-1,-1,-1,-1,-1,37427.64805
2018-03-28,8198.553804678384,8198.553804678384,7728,7895.4525,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8599.47411245907,8599.47411245907,8486.413074217027,8486.413074217027,8599.47411245907,8599.47411245907,8486.413074217027,8486.413074217027,,,,11712,-1,-1,-1,-1,-1,26401.33167
2018-03-29,8047.003152339192,8047.003152339192,6941.11,7488.8875,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8542.943593338048,8542.943593338048,8374.92676974963,8374.92676974963,8542.943593338048,8542.943593338048,8374.92676974963,8374.92676974963,,,,11712,-1,-1,-1,-1,-1,54620.915125
2018-03-30,7767.945326169596,7767.945326169596,6600.1,6955.7300000000005,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8458.93518154384,8458.93518154384,8224.944573739083,8224.944573739083,8458.93518154384,8458.93518154384,8224.944573739083,8224.944573739083,,,,11712,-1,-1,-1,-1,-1,65306.031976
2018-03-31,7361.837663084798,7361.837663084798,6777,6941.1275,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8341.939877641462,8341.939877641462,8055.8867607389,8055.8867607389,8341.939877641462,8341.939877641462,8055.8867607389,8055.8867607389,,,,11712,-1,-1,-1,-1,-1,36868.539087
2018-04-01,7151.482581542399,7151.482581542399,6430,6803.7474999999995,9613.665169677544,9613.665169677544,8662.17598658013,8662.17598658013,8198.913319190182,8198.913319190182,7872.841239563908,7872.841239563908,8198.913319190182,8198.913319190182,7872.841239563908,7872.841239563908,,,,11712,-1,-1,-1,-1,-1,44071.430463
2018-04-02,6977.615040771199,7125,6765,6939.7525000000005,9613.665169677544,9613.665169677544,8662.17598658013,8662.17598658013,8035.877279377045,8035.877279377045,7705.55338707148,7705.55338707148,8035.877279377045,8035.877279377045,7705.55338707148,7705.55338707148,,,,11712,-1,-1,-1,-1,-1,32123.560072
2018-04-03,6958.6837703856,7520,6958.6837703856,7250.047500000001,9613.665169677544,9613.665169677544,8662.17598658013,8662.17598658013,7870.715333224262,7870.715333224262,7580.045755741353,7580.045755741353,7870.715333224262,7870.715333224262,7580.045755741353,7580.045755741353,,,,11712,-1,-1,-1,-1,-1,37787.331811
2018-04-04,7104.3656351928,7427.52,6707,7083.9575,9613.665169677544,9613.665169677544,8662.17598658013,8662.17598658013,7725.380544482808,7725.380544482808,7477.090196947903,7477.090196947903,7725.380544482808,7725.380544482808,7477.090196947903,7477.090196947903,,,,11712,-1,-1,-1,-1,-1,42227.183804
2018-04-05,7094.1615675964,7094.1615675964,6566.69,6758.887500000001,9613.665169677544,9613.665169677544,8662.17598658013,8662.17598658013,7601.235370715355,7601.235370715355,7375.834043897652,7375.834043897652,7601.235370715355,7601.235370715355,7375.834043897652,7375.834043897652,,,,11712,-1,-1,-1,-1,-1,39029.73146
2018-04-06,6926.5245337982005,6926.5245337982005,6500,6680.3475,9613.665169677544,9613.665169677544,8662.17598658013,8662.17598658013,7488.534707306503,7488.534707306503,7273.693625629886,7273.693625629886,7488.534707306503,7488.534707306503,7273.693625629886,7273.693625629886,,,,11712,-1,-1,-1,-1,-1,27455.01192
