time,open,high,low,close,Volume
2006-01-02,1.18593,1.21783,1.18093,1.21493,
2006-01-09,1.21393,1.21613,1.20053,1.21323,
2006-01-16,1.21633,1.21703,1.20383,1.21373,
2006-01-23,1.21653,1.23223,1.20833,1.21013,
2006-01-30,1.21053,1.21883,1.19663,1.20223,
2006-02-06,1.20243,1.20443,1.18903,1.18983,
2006-02-13,1.18963,1.19513,1.18483,1.19333,
2006-02-20,1.19473,1.19743,1.18613,1.18723,
2006-02-27,1.18373,1.20493,1.18233,1.20383,
2006-03-06,1.20793,1.20903,1.18573,1.19153,
2006-03-13,1.19793,1.22043,1.19393,1.21863,
2006-03-20,1.21423,1.21623,1.19503,1.20333,
2006-03-27,1.20063,1.21753,1.19773,1.21143,
2006-04-03,1.21033,1.23313,1.20313,1.20913,
2006-04-10,1.21003,1.21663,1.20643,1.21083,
2006-04-17,1.21363,1.23923,1.21333,1.23403,
2006-04-24,1.23723,1.26403,1.23303,1.26313,
2006-05-01,1.26163,1.27613,1.25533,1.27303,
2006-05-08,1.27403,1.29563,1.26603,1.29193,
2006-05-15,1.29493,1.29493,1.26913,1.27743,
2006-05-22,1.27583,1.28893,1.26913,1.27263,
2006-05-29,1.27473,1.29383,1.27213,1.29203,
2006-06-05,1.29243,1.29783,1.25943,1.26403,
2006-06-12,1.26083,1.26693,1.25293,1.26413,
2006-06-19,1.26353,1.26783,1.24773,1.25073,
2006-06-26,1.25153,1.27913,1.25023,1.27893,
2006-07-03,1.27893,1.28613,1.27063,1.28083,
2006-07-10,1.28053,1.28103,1.26253,1.26483,
2006-07-17,1.26313,1.26963,1.24573,1.26893,
2006-07-24,1.26953,1.27693,1.25573,1.27573,
2006-07-31,1.27573,1.29083,1.27183,1.28763,
2006-08-07,1.28853,1.29123,1.27123,1.27243,
2006-08-14,1.27373,1.28843,1.26943,1.28263,
2006-08-21,1.28343,1.29383,1.27243,1.27523,
2006-08-28,1.27593,1.28763,1.27493,1.28373,
2006-09-04,1.28513,1.28723,1.26503,1.26743,
2006-09-11,1.26683,1.27523,1.26303,1.26603,
2006-09-18,1.26313,1.28293,1.26313,1.27883,
2006-09-25,1.27893,1.28163,1.26383,1.26733,
2006-10-02,1.26793,1.27643,1.25693,1.25953,
2006-10-09,1.25923,1.26113,1.24813,1.25093,
2006-10-16,1.24993,1.26423,1.24873,1.26133,
2006-10-23,1.26163,1.27493,1.25243,1.27383,
2006-10-30,1.27113,1.27963,1.26763,1.27143,
2006-11-06,1.27143,1.28973,1.26883,1.28393,
2006-11-13,1.28453,1.28753,1.27613,1.28273,
2006-11-20,1.28193,1.31063,1.27953,1.30943,
2006-11-27,1.31553,1.33463,1.30843,1.33363,
2006-12-04,1.33513,1.33633,1.31903,1.32003,
2006-12-11,1.31843,1.32903,1.30573,1.30793,
2006-12-18,1.30813,1.32443,1.30503,1.31373,
2006-12-25,1.31373,1.32023,1.30883,1.31993,
2007-01-01,1.31993,1.32943,1.29793,1.30063,
2007-01-08,1.30063,1.30513,1.28643,1.29173,
2007-01-15,1.29253,1.29993,1.28943,1.29643,
2007-01-22,1.29573,1.30433,1.28753,1.29153,
2007-01-29,1.29233,1.30633,1.28973,1.29613,
2007-02-05,1.29583,1.30413,1.29103,1.30043,
2007-02-12,1.30163,1.31703,1.29393,1.31403,
2007-02-19,1.31443,1.31893,1.30803,1.31663,
2007-02-26,1.31803,1.32573,1.31393,1.31903,
2007-03-05,1.31853,1.31943,1.30703,1.31163,
2007-03-12,1.31243,1.33373,1.31063,1.33173,
2007-03-19,1.33133,1.34103,1.32713,1.32823,
2007-03-26,1.32703,1.33983,1.32533,1.33543,
2007-04-02,1.33533,1.34393,1.33163,1.33753,
2007-04-09,1.33673,1.35513,1.33373,1.35293,
2007-04-16,1.35663,1.36363,1.35233,1.35853,
2007-04-23,1.35983,1.36803,1.35403,1.36483,
2007-04-30,1.36233,1.36763,1.35323,1.35893,
2007-05-07,1.35903,1.36263,1.34613,1.35233,
2007-05-14,1.35393,1.36083,1.34633,1.35063,
2007-05-21,1.35203,1.35203,1.34093,1.34423,
2007-05-28,1.34453,1.35173,1.33913,1.34473,
2007-06-04,1.34423,1.35513,1.33183,1.33693,
2007-06-11,1.33553,1.33863,1.32603,1.33843,
2007-06-18,1.33833,1.34693,1.33703,1.34683,
2007-06-25,1.34623,1.35403,1.34133,1.35403,
2007-07-02,1.35323,1.36573,1.35253,1.36273,
2007-07-09,1.36243,1.38113,1.35913,1.37803,
2007-07-16,1.37733,1.38413,1.37503,1.38233,
2007-07-23,1.38363,1.38493,1.36243,1.36303,
2007-07-30,1.36323,1.38183,1.36193,1.37703,
2007-08-06,1.38173,1.38363,1.36383,1.36903,
2007-08-13,1.36893,1.37073,1.33583,1.34723,
2007-08-20,1.34733,1.36853,1.34473,1.36733,
2007-08-27,1.36783,1.37163,1.35613,1.36273,
2007-09-03,1.36293,1.37963,1.35493,1.37673,
2007-09-10,1.37773,1.39263,1.37653,1.38713,
2007-09-17,1.38573,1.41173,1.38253,1.40863,
2007-09-24,1.40893,1.42773,1.40593,1.42663,
2007-10-01,1.42683,1.42743,1.40313,1.41333,
2007-10-08,1.41503,1.42393,1.40143,1.41763,
2007-10-15,1.41643,1.43173,1.41423,1.42983,
2007-10-22,1.43343,1.43933,1.41233,1.43923,
2007-10-29,1.44033,1.45273,1.43723,1.45023,
2007-11-05,1.45023,1.47503,1.44403,1.46763,
2007-11-12,1.46533,1.47223,1.45173,1.46593,
2007-11-19,1.46703,1.49663,1.46193,1.48353,
2007-11-26,1.48323,1.49073,1.46253,1.46303,
2007-12-03,1.46613,1.47693,1.45253,1.46553,
2007-12-10,1.47063,1.47473,1.44103,1.44293,
2007-12-17,1.44083,1.44493,1.43073,1.43743,
2007-12-24,1.43933,1.47263,1.43723,1.47223,
2007-12-31,1.45843,1.48233,1.45673,1.47413,
2008-01-07,1.46823,1.48183,1.46383,1.47743,
2008-01-14,1.48653,1.49203,1.45873,1.46183,
2008-01-21,1.44193,1.47783,1.43633,1.46793,
2008-01-28,1.47843,1.49463,1.46603,1.48003,
2008-02-04,1.48253,1.48463,1.44353,1.45053,
2008-02-11,1.45023,1.47063,1.44783,1.46813,
2008-02-18,1.46453,1.48593,1.46073,1.48263,
2008-02-25,1.48323,1.52373,1.47773,1.51773,
2008-03-03,1.51943,1.54593,1.51443,1.53523,
2008-03-10,1.53343,1.56883,1.52813,1.56703,
2008-03-17,1.57403,1.59023,1.53933,1.54293,
2008-03-24,1.54323,1.58573,1.53403,1.57943,
2008-03-31,1.57563,1.58933,1.55073,1.57363,
2008-04-07,1.57063,1.59133,1.56243,1.58043,
2008-04-14,1.58223,1.59823,1.56683,1.58133,
2008-04-21,1.59133,1.60163,1.55523,1.56273,
2008-04-28,1.56533,1.56923,1.53583,1.54223,
2008-05-05,1.55033,1.55913,1.52823,1.54793,
2008-05-12,1.55313,1.55993,1.53633,1.55743,
2008-05-19,1.55253,1.58113,1.54853,1.57583,
2008-05-26,1.57773,1.58163,1.54593,1.55533,
2008-06-02,1.55389,1.57772,1.53635,1.57768,
2008-06-09,1.57768,1.58126,1.53023,1.53801,
2008-06-16,1.54645,1.56506,1.53442,1.56023,
2008-06-23,1.55204,1.57909,1.5467,1.57903,
2008-06-30,1.57602,1.59083,1.5653,1.57057,
2008-07-07,1.57234,1.59461,1.56109,1.59346,
2008-07-14,1.58887,1.60381,1.57826,1.58461,
2008-07-21,1.59122,1.59433,1.56272,1.57056,
2008-07-28,1.57427,1.57671,1.55136,1.55598,
2008-08-04,1.55638,1.56296,1.49971,1.50089,
2008-08-11,1.49115,1.50825,1.4655,1.46867,
2008-08-18,1.46959,1.49077,1.46299,1.47886,
2008-08-25,1.47263,1.48102,1.45675,1.46703,
2008-09-01,1.45827,1.47022,1.4196,1.42629,
2008-09-08,1.41354,1.44271,1.38808,1.42149,
2008-09-15,1.4243,1.45409,1.40723,1.44648,
2008-09-22,1.48013,1.48655,1.44524,1.46107,
2008-09-29,1.4365,1.45687,1.37013,1.37679,
2008-10-06,1.35144,1.37841,1.32569,1.34182,
2008-10-13,1.36572,1.37679,1.33442,1.34085,
2008-10-20,1.33393,1.3529,1.24945,1.26192,
2008-10-27,1.24642,1.3295,1.2328,1.27324,
2008-11-03,1.26127,1.31149,1.25243,1.27166,
2008-11-10,1.27441,1.29262,1.23872,1.2602,
2008-11-17,1.264,1.28119,1.24224,1.25882,
2008-11-24,1.29125,1.30794,1.25645,1.26886,
2008-12-01,1.25952,1.28477,1.2548,1.27202,
2008-12-08,1.29123,1.3414,1.27265,1.3367,
2008-12-15,1.36935,1.47182,1.34281,1.39052,
2008-12-22,1.39545,1.41238,1.39014,1.40236,
2008-12-29,1.40329,1.43613,1.38386,1.39182,
2009-01-05,1.36357,1.39617,1.33112,1.34746,
2009-01-12,1.33565,1.34452,1.30241,1.32641,
2009-01-19,1.30904,1.33794,1.27644,1.29688,
2009-01-26,1.31835,1.33276,1.27614,1.28101,
